grdiname,site,expt,layer,GPS Latitude Coordinate (N),GPS Longitude Coordinate (W),MeanAnnTempC,MeanAnnPrecipMM
NZC85_20160701_1C3E_11B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_12B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_13B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_14B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_15B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_16B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_21B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_22B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_23B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_24B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_25B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_26B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_31B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_32B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_33B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_34B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_35B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_36B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_41B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_42B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_43B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_44B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_45B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_46B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
NZC85_20160701_1C3E_51B,NZC85,1C3E,Moss,47.6358,83.24617,1.7,797
